sentiment	review
1	Biratlaxmi Bikas Bank’s profit rises by 52.25% in Q2; EPS stands at Rs 29.11; soon to be acquired by Prime Commercial Bank
1	Alpine Development Bank’s net profit grows by 122%
1	Prime Commercial Bank’s profit rises by a meager 19.29%; earns Rs 55.97 crore in Q2
1	Mega Bank’s non-performing loan falls to 0.67%; EPS rises to Rs 18.54
1	Everest Finance earns Rs 1.40 crore in Q2; NPL declines to 0.54 percent
1	Nepal Life Insurance FPO collects record-breaking collection of over Rs 25.32 arba on the last day; collection from 40 counters pending
1	Shrijana Finance reports 151% increase in net interest income, 66% increase in net profit in Q2
1	Bhargav Bikas Bank’s rise in core business activities leads to 75% profit growth in Q2
1	Nepal Life Insurance FPO oversubscribed by 3.5 times; collected Rs 15.50 arba; issue closing today
1	Nagbeli Laghubitta to endorse 80% dividend &100% right share from its 7th AGM today
1	NEPSE up by a mere 1 point with turnover of just Rs. 32.89 crore; Banking loses 1.65 points
1	Kumari Bank announces 21% bonus share; paid up to reach Rs. 3.26 arba
1	Market up by 17.13 points with turnover above Rs 51.4 crore; Citizens Bank in light of right share news
1	Nepse Index closes positively by 4.78 points on the last trading day; Turnover above Rs 50.22 crore
1	Nagbeli Laghubitta to endorse 80% dividend &100% right share; AGM on Poush 29; Book Closure for dividend on Poush 13
1	Mega Bank to auction 25% unclaimed 3.86 lakh units right shares at Rs 100 & above
1	Nepse Index rises slightly by 1.29 points with turnover of Rs 62.20 crore; Insurance sector surges by 72.91 points
1	Stock market rises by 9.91 points after 3 consecutive trading days fall; Turnover above Rs 77.18 crore
1	Commercial Banks’ Net Profit increases by 43.6% to Rs 9.6 Arba in Q1 of FY 2073/74, Nepal Bank leads with highest profit of Rs 1.16 Arba
1	Nepse Index closes positively by 6.67 points with turnover above Rs 92.87 crore
1	Sewa Bikas Bank to issue 120% (51.06 lakh unit) right shares from Mangsir 23; Profit rises by massive 113.03% in Q1
1	Gold slips on strong dollar, Fed rate hike comments
1	Sunrise Bank’s net profit surges by Rs 67.52% to Rs 60.97 crore in Q2: starting joint transaction with NIDC Capital Markets from today
1	Astounding profit growth of Soaltee Hotel by 384.55% to Rs 3.15 crore in Q1; EPS mere Rs 2.4
1	Api Power Company profit shoots through the roof; earning surges by 583.49% to Rs 1.70 crore in Q1; sales to NEA rises by 87.32%
1	Sales in assets led Nepal Bank tremendous profit growth by 162.41% to Rs 1.16 arba in Q1; EPS at Rs 71.76
1	Nepse Index inches up by 6.28 points with turnover of Rs 78.09 crore; Insurance sector Massive profit growth of National & Surya Life Insurance by 42.41% & 60.43% respectively in Q1
1	Excel Dev Bank profit surges by 60.11% in Q1 Garima Bikas Bank profit up swings by 60.50% to Rs 4.60 crore in Q1; paid up at Rs 1.08 arba
1	Nepse Index inches up by 2.50 points after Tihar festival; Minimal turnover of Rs 53.85 crore
1	Purnima Bikas Bank to auction 67,109.6 unit shares at Rs 100 & above from Mangsir 2
1	Stock market rises by 6.58 points after 4 consecutive days of downfall; Increment in turnover of Rs 70.33 crore
1	Stock Market rises by 13.28 points on the last trading day before Dashain Festival; Turnover above Rs 1.02 arba
1	Stock Market bounces back after 6 days of consecutive downfall; Index rises by 26.46 points with turnover of Rs 1.07 arba
1	Last day to secure 20% stock dividend of United Finance; LTP stood Rs 471
1	Sunrise Bank announces 3:1 (33.33%) bonus share, Paid up to reach Rs 5.30 arba after bonus
1	Citizens Bank auctioning unsold 7.05 lakh unit shares at Rs 100 & above from today; LTP stood Rs 725
1	19% of Chimmek Laghubitta promoter shares get converted into public share; Tourism Dev. Bank converts 11.50% promoter shares into public
1	Nabil Bank announces 30% stock & 15% dividend; Paid up capital to reach Rs 6.17 arba
1	Stock Market in upward trend; Index surges by 19.07 points with 10,775 transaction ; Turnover above Rs 1.92 arba
1	Only 2 trading days left to secure 150% Right Share of Sahara Bikas Bank; Book closure on Bhadra 22
1	Guheswori Merchant Banking & Finance 50% Right Share book closure on Bhadra 19; LTP stood Rs 456
1	Commercial Banks profit increases by 30% in FY 2072/73; NBL leads with massive Rs 3.01 billion net profit
1	Nepse Index rises by 17.61 points to close at 1735.06 point; Turnover above Rs 1 arba
1	Meager profit growth of Everest Bank by 9.90% to Rs 1.73 arba; Reserve stand at Rs 5.86 arba
1	Reminder; Last day to secure10% stock dividend of Arun Valley Hydropower; 31.57 lakh unit FPO shares in the offing
1	Commercial Banks shows impressive results in FY 2072/73; able to achieve 68% growth
1	Cut off price for 1.88 lakh units auctioned shares of Butwal Power Company stood at Rs 825; LTP at Rs 910
1	Rise in core business led Himalayan Bank tremendous profit growth by 72.22% in Q4; EPS at Rs 42.58
1	Nabil Bank profit surges by 34.67% in Q4; reserve increased to Rs 7.59 arba
1	Massive profit growth of Nagbeli & Sana Kisan Laghubitta by 83.16% & 45.06% respectively in Q4; RMDC earning drop by 14.83%
1	Market up by 19.15 points to close at 1779.57 levels with turnover of Rs 2.02 arba; 7 BFIs hit circuit break
1	Massive profit growth of Laxmi Bank by 67.28% to Rs 72.98 crore in Q4; EPS at Rs 22.17
1	Nepal Bangladesh Bank earns Rs 1.19 arba in Q4; Reserve increases by 64% to Rs 3.05 arba
1	Book closure for 150% Right Shares of Mount Makalu Dev. Bank on Shrawan 21;only 5 trading days left
1	Deva Bikas Bank to endorse 50% right share; SGM on Shrawan 28
